Player,useless,Pos,Age,Tm,G,GS,FG,FGA,FG%,eFG%,FT,FTA,FT%,AST,STL,BLK,TOV,PS/G
Al Horford,horfoal01,C,30,BOS,19,19,6.0,13.0,.462,.510,2.1,2.5,.830,5.1,0.6,2.2,1.5,15.3
Danuel House,houseda01,SG,23,WAS,1,0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Dwight Howard,howardw01,C,31,ATL,26,26,5.6,8.9,.632,.632,3.0,5.7,.524,1.2,1.0,1.5,2.5,14.2
Marcelo Huertas,huertma01,PG,33,LAL,13,1,1.2,2.9,.395,.421,0.4,0.8,.500,2.8,0.6,0.1,1.2,2.8
Kris Humphries,humphkr01,PF,31,ATL,20,0,1.3,3.4,.388,.433,0.9,1.1,.857,0.5,0.2,0.5,0.7,3.8
R.J. Hunter,hunterj01,SG,23,CHI,3,0,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Serge Ibaka,ibakase01,PF,27,ORL,31,31,6.1,12.4,.490,.549,1.5,1.9,.828,1.0,0.5,1.7,1.1,15.2
Andre Iguodala,iguodan01,SF,33,GSW,29,0,2.3,5.1,.456,.534,0.4,0.8,.565,3.3,0.9,0.4,0.7,5.9
Ersan Ilyasova,ilyaser01,PF,29,TOT,28,14,4.9,10.7,.457,.543,1.7,2.1,.814,1.5,0.5,0.3,1.3,13.4
Ersan Ilyasova,ilyaser01,PF,29,OKC,3,0,2.0,5.3,.375,.469,0.0,0.0,,0.3,1.0,0.3,1.3,5.0
Ersan Ilyasova,ilyaser01,PF,29,PHI,25,14,5.2,11.4,.461,.548,1.9,2.4,.814,1.6,0.4,0.2,1.3,14.4
Joe Ingles,inglejo01,SF,29,UTA,30,3,2.2,4.6,.489,.631,0.6,0.8,.760,1.9,0.8,0.1,0.9,6.4
Brandon Ingram,ingrabr01,SF,19,LAL,32,9,2.7,7.7,.348,.387,1.5,2.2,.690,2.0,0.5,0.4,1.4,7.5
Kyrie Irving,irvinky01,PG,24,CLE,25,25,9.0,18.6,.481,.546,3.9,4.4,.882,5.3,0.6,0.2,2.5,24.2
Demetrius Jackson,jacksde01,PG,22,BOS,4,0,0.8,1.0,.750,.875,0.8,1.5,.500,0.8,0.0,0.0,0.0,2.5
Reggie Jackson,jacksre01,PG,26,DET,10,10,4.9,12.3,.398,.451,2.8,3.3,.848,4.8,0.7,0.1,2.0,13.9
LeBron James,jamesle01,SF,32,CLE,25,25,9.4,18.4,.514,.564,4.8,6.9,.694,8.8,1.3,0.5,3.8,25.5
Al Jefferson,jeffeal01,C,32,IND,31,1,3.6,7.5,.476,.476,0.9,1.3,.692,0.8,0.2,0.3,0.4,8.0
Richard Jefferson,jefferi01,SF,36,CLE,27,4,1.8,4.1,.438,.531,0.5,0.7,.737,1.0,0.3,0.1,0.5,4.9
John Jenkins,jenkijo01,SG,25,PHO,4,0,0.5,1.3,.400,.500,0.5,0.5,1.000,0.3,0.0,0.0,0.0,1.8
Brandon Jennings,jennibr01,PG,27,NYK,29,4,2.7,7.1,.376,.444,1.7,2.2,.794,5.5,1.0,0.0,2.1,8.0
Jonas Jerebko,jerebjo01,PF,29,BOS,29,1,1.9,4.0,.466,.552,0.3,0.4,.818,0.8,0.6,0.2,0.5,4.7
Amir Johnson,johnsam01,PF,29,BOS,29,28,2.6,4.7,.556,.589,0.8,1.2,.686,1.7,0.6,0.6,0.8,6.3
James Johnson,johnsja01,PF,29,MIA,26,0,4.0,8.0,.505,.572,1.5,2.0,.717,2.4,0.6,0.9,1.8,10.6
Joe Johnson,johnsjo02,SF,35,UTA,30,8,3.3,7.7,.435,.517,0.9,1.1,.818,1.8,0.4,0.1,0.9,8.8
Stanley Johnson,johnsst04,SF,20,DET,27,0,1.4,3.7,.374,.424,0.6,1.0,.654,0.9,0.6,0.3,0.6,3.7
Tyler Johnson,johnsty01,SG,24,MIA,28,0,4.8,11.4,.423,.483,2.5,3.3,.742,3.2,1.2,0.6,1.1,13.5
Wesley Johnson,johnswe01,SF,29,LAC,24,0,1.3,3.5,.361,.446,0.2,0.3,.833,0.5,0.4,0.5,0.5,3.3
Nikola Jokic,jokicni01,PF,21,DEN,26,12,4.7,8.1,.573,.592,1.9,2.4,.806,3.2,0.6,0.6,1.5,11.5
Damian Jones,jonesda03,C,21,GSW,1,0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0
Derrick Jones,jonesde02,SF,19,PHO,2,0,0.5,0.5,1.000,1.000,0.5,0.5,1.000,0.0,0.0,0.0,0.0,1.5
James Jones,jonesja02,SF,36,CLE,16,0,1.1,1.6,.654,.923,0.3,0.4,.714,0.1,0.2,0.3,0.3,3.3
Terrence Jones,joneste01,PF,25,NOP,30,4,4.3,9.1,.473,.493,2.0,3.2,.608,1.1,0.8,1.0,1.1,10.9
Tyus Jones,jonesty01,PG,20,MIN,18,0,1.1,2.6,.426,.532,0.8,0.8,.933,2.4,0.7,0.0,0.7,3.6
DeAndre Jordan,jordade01,C,28,LAC,30,30,4.5,6.8,.665,.665,2.7,5.0,.550,0.8,0.6,1.8,1.5,11.7
Cory Joseph,josepco01,SG,25,TOR,27,0,3.5,7.7,.454,.488,1.4,1.9,.780,2.8,0.7,0.1,1.0,8.9
Frank Kaminsky,kaminfr01,C,23,CHO,27,6,3.8,9.9,.384,.446,1.3,2.0,.660,2.5,0.6,0.4,1.0,10.1
Enes Kanter,kanteen01,C,24,OKC,29,0,4.9,8.9,.552,.558,2.6,3.3,.800,0.7,0.4,0.9,1.3,12.6
Ryan Kelly,kellyry01,PF,25,ATL,8,0,0.3,0.9,.286,.357,0.3,0.3,1.000,0.5,0.4,0.3,0.1,0.9
Michael Kidd-Gilchrist,kiddgmi01,SF,23,CHO,28,28,3.3,7.5,.435,.438,2.3,3.1,.744,1.1,0.8,0.9,0.9,8.8
Sean Kilpatrick,kilpase01,SG,27,BRK,28,18,5.0,11.8,.429,.494,4.0,4.8,.830,2.5,0.8,0.1,2.6,15.6
Brandon Knight,knighbr03,SG,25,PHO,29,4,4.4,11.5,.386,.431,3.1,3.7,.850,2.9,0.7,0.0,2.0,13.1
Kyle Korver,korveky01,SG,35,ATL,27,21,3.3,7.3,.449,.583,0.6,0.7,.895,2.2,0.7,0.4,1.4,9.2
Kosta Koufos,koufoko01,C,27,SAC,29,25,2.7,4.9,.546,.546,0.4,0.8,.478,0.6,0.4,0.6,1.0,5.7
Mindaugas Kuzminskas,kuzmimi01,SF,27,NYK,24,0,1.5,3.8,.396,.489,0.5,0.7,.750,0.9,0.5,0.1,0.5,4.2
Skal Labissiere,labissk01,PF,20,SAC,3,0,1.3,2.3,.571,.571,0.7,1.0,.667,0.0,0.0,0.0,0.3,3.3
Jeremy Lamb,lambje01,SG,24,CHO,18,1,3.2,7.2,.450,.481,1.6,1.9,.829,0.9,0.3,0.3,0.8,8.5
Nicolas Laprovittola,laproni01,PG,27,SAS,17,3,1.2,2.7,.435,.543,0.5,0.5,1.000,1.6,0.2,0.1,1.1,3.5
Joffrey Lauvergne,lauvejo01,C,25,OKC,25,0,2.3,5.0,.460,.524,0.4,0.8,.476,0.9,0.5,0.2,0.6,5.7
Zach LaVine,lavinza01,SG,21,MIN,27,27,7.6,16.1,.470,.552,2.9,3.4,.868,3.1,0.8,0.3,2.0,20.7
Ty Lawson,lawsoty01,PG,29,SAC,29,14,2.9,6.9,.415,.455,1.4,1.9,.759,4.4,1.2,0.1,1.7,7.7
Jake Layman,laymaja01,SF,22,POR,17,0,0.9,2.8,.319,.404,0.4,0.5,.778,0.4,0.4,0.1,0.2,2.6
Courtney Lee,leeco01,SG,31,NYK,27,27,3.9,8.5,.452,.539,0.8,0.9,.875,1.9,0.9,0.3,0.8,10.0
David Lee,leeda02,PF,33,SAS,29,2,2.7,4.6,.575,.575,1.1,1.6,.733,1.5,0.4,0.4,0.8,6.4
Alex Len,lenal01,C,23,PHO,27,9,3.1,6.3,.488,.488,2.5,3.5,.713,0.7,0.5,1.7,1.3,8.6
Kawhi Leonard,leonaka01,SF,25,SAS,29,29,8.0,17.1,.467,.518,6.3,6.9,.915,3.1,2.0,0.6,2.0,24.0
Meyers Leonard,leoname01,PF,24,POR,28,5,1.9,5.2,.366,.462,0.4,0.4,1.000,0.8,0.1,0.4,0.6,5.2
Jon Leuer,leuerjo01,PF,27,DET,30,0,4.4,8.7,.512,.556,1.6,1.8,.889,1.6,0.4,0.4,0.9,11.2
Caris LeVert,leverca01,SG,22,BRK,8,0,1.3,4.3,.294,.353,0.4,0.8,.500,1.4,0.9,0.0,0.6,3.4
DeAndre Liggins,liggide01,SG,28,CLE,19,5,1.0,2.4,.413,.489,0.6,0.9,.667,1.2,0.6,0.4,0.8,3.0
Damian Lillard,lillada01,PG,26,POR,31,31,8.8,19.3,.457,.524,7.2,8.0,.899,6.0,0.9,0.3,2.7,27.4
Jeremy Lin,linje01,PG,28,BRK,10,7,5.0,10.9,.459,.523,2.6,3.7,.703,6.0,1.3,0.7,2.4,14.0
Shaun Livingston,livinsh01,PG,31,GSW,29,0,2.2,3.9,.571,.571,0.4,0.8,.542,1.8,0.4,0.1,0.8,4.9
Kevon Looney,looneke01,PF,20,GSW,26,3,1.3,2.2,.614,.623,0.4,0.7,.588,0.7,0.2,0.5,0.3,3.1
Brook Lopez,lopezbr01,C,28,BRK,25,25,7.0,15.3,.460,.522,4.6,5.4,.838,2.6,0.6,1.8,2.3,20.6
Robin Lopez,lopezro01,C,28,CHI,28,28,4.4,9.3,.479,.479,0.8,1.2,.667,0.8,0.1,1.8,1.0,9.6
Kevin Love,loveke01,PF,28,CLE,24,24,7.1,15.2,.468,.555,5.4,6.3,.860,1.8,1.1,0.5,2.0,22.3
Kyle Lowry,lowryky01,PG,30,TOR,28,28,6.8,14.7,.460,.571,4.5,5.3,.851,7.4,1.5,0.3,2.9,21.3
John Lucas III,lucasjo02,PG,34,MIN,5,0,0.2,0.8,.250,.250,0.0,0.0,,0.2,0.4,0.0,0.0,0.4
Timothe Luwawu-Cabarrot,luwawti01,SF,21,PHI,18,0,0.7,1.9,.343,.386,0.7,1.0,.667,0.3,0.3,0.2,0.3,2.2
Trey Lyles,lylestr01,PF,21,UTA,30,3,3.4,8.4,.399,.466,1.0,1.2,.811,1.3,0.5,0.4,1.3,8.9
