"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"29","Mike Conley","PG",29,"MEM",21,20,5.6,13.5,0.413,0.5,4.4,5.1,0.869,5.7,1.5,0.5,2.2,17.9,21,20,117,283,0.413,0.5,93,107,0.869,119,47,376,21,0.57,33.6,12.5,25.7,1.2,20,12,8,635,1197,1448,115,11,38,257,277,164,9.6,13.7,3.96
"30","DeMarcus Cousins","C",26,"SAC",28,28,9.8,21.7,0.453,0.493,7.6,9.9,0.768,3.3,1.1,1.5,3,29,28,28,275,607,0.453,0.493,212,276,0.768,92,83,811,28,0.557,19.6,10.2,37.4,1.8,28,12,16,970,1342,1541,92,8,20,188,228,120,6.9,8.9,1.91
"31","Robert Covington","SF",26,"PHI",25,25,3.4,9.6,0.353,0.446,1.4,1.8,0.778,1.2,1.6,0.7,1.8,10,25,25,85,241,0.353,0.446,35,45,0.778,31,44,250,25,0.479,6.8,14.4,18.6,0.3,25,7,18,725,725,642,31,2,9,63,77,42,4.3,5.8,2.61
"32","Allen Crabbe","SG",24,"POR",31,1,3.4,7.6,0.445,0.544,1.5,1.8,0.855,1.2,0.5,0.2,0.9,9.8,31,1,105,236,0.445,0.544,47,55,0.855,37,27,304,31,0.584,6.1,9.4,14.4,-0.1,31,13,18,869,669,663,37,7,9,70,93,52,5.5,7.8,2.6
"33","Jamal Crawford","SG",36,"LAC",30,0,4.2,10.1,0.418,0.482,2,2.2,0.881,2.1,0.6,0.1,1.4,11.7,30,0,127,304,0.418,0.482,59,67,0.881,63,43,352,30,0.528,12.8,11.4,22.1,-0.1,30,22,8,756,754,977,63,8,19,134,154,90,8.4,11.9,2.41
"34","Jae Crowder","SF",26,"BOS",21,21,4.7,9.8,0.478,0.588,1.9,2.1,0.889,2.4,1.1,0.3,1.3,13.4,21,21,98,205,0.478,0.588,40,45,0.889,50,28,281,21,0.625,11.8,11.1,17.2,0.7,21,14,7,656,775,659,50,2,18,85,117,70,6.5,9,3.47
"35","Dante Cunningham","SF",29,"NOP",18,10,2.1,5.3,0.396,0.5,0.2,0.4,0.429,0.6,0.6,0.6,0.6,5.5,18,10,38,96,0.396,0.5,3,7,0.429,10,11,99,18,0.5,3.6,10,12.1,0,18,7,11,402,382,278,10,4,5,26,27,19,2.6,5,3.75
"36","Seth Curry","PG",26,"DAL",25,6,4,9.2,0.435,0.52,0.6,0.9,0.727,2.8,1.1,0.1,1.3,10.2,25,6,100,230,0.435,0.52,16,22,0.727,69,32,255,25,0.532,17.9,11.8,19.1,0.2,25,7,18,672,1031,1134,69,4,11,156,167,84,6.7,8.1,4.41
"37","Stephen Curry","PG",28,"GSW",30,30,8,17,0.468,0.578,4.7,5,0.934,5.9,1.8,0.2,2.7,24.4,30,30,239,511,0.468,0.578,141,151,0.934,176,82,732,30,0.634,27,12.4,28.4,2.2,30,26,4,991,1543,1837,176,15,71,324,413,263,11.4,17,2.94
"38","Troy Daniels","SG",25,"MEM",20,3,3.4,9,0.378,0.492,1.1,1.3,0.846,0.9,0.4,0.1,0.7,10,20,3,68,180,0.378,0.492,22,26,0.846,17,14,199,20,0.52,7.2,6.8,21.8,-0.1,19,10,9,415,348,458,17,3,5,44,38,24,4.9,6.9,1.93
