"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"165","Evan Turner","SG",28,"POR",29,1,3.6,8.5,0.423,0.453,1.5,1.8,0.863,3,0.8,0.3,1.2,9.2,29,1,104,246,0.423,0.453,44,51,0.863,87,36,267,29,0.497,17.8,11.8,18.4,-0.1,29,13,16,724,961,901,87,7,14,165,204,108,9.1,11.2,3.74
"166","Myles Turner","C",20,"IND",30,30,5.7,10.7,0.533,0.561,3.3,4.1,0.798,1,0.8,2.4,1.4,15.3,30,30,171,321,0.533,0.561,99,124,0.798,30,43,459,30,0.611,5.6,10.3,20.8,1,30,15,15,884,929,763,30,4,10,51,76,44,3.2,4.7,2.37
"167","Jonas Valanciunas","C",24,"TOR",26,26,5,9.3,0.535,0.535,2.4,2.9,0.84,0.8,0.5,0.7,1.5,12.3,26,26,129,241,0.535,0.535,63,75,0.84,21,40,321,26,0.586,4.4,12.7,19.5,0.3,24,18,6,668,825,526,19,0,9,52,46,28,2.3,3.4,2.82
"168","Nikola Vucevic","C",26,"ORL",28,16,5.7,12.9,0.44,0.45,1.2,2,0.607,2.6,0.8,0.9,1.4,12.8,28,16,159,361,0.44,0.45,34,56,0.607,74,38,359,28,0.465,16.8,9,24.3,0.4,28,12,16,781,1340,1057,74,6,12,166,189,93,5.5,6.9,3.58
"169","Dwyane Wade","SG",35,"CHI",26,26,7.1,16.1,0.443,0.472,4.1,5.1,0.803,3.6,1.5,0.7,2.2,19.3,26,26,185,418,0.443,0.472,106,132,0.803,94,57,501,26,0.526,20.7,10.7,28.6,0.8,25,12,13,778,862,1186,90,7,17,171,209,114,10.4,13.2,1.97
"170","Dion Waiters","SG",25,"MIA",16,16,5.5,14.3,0.384,0.43,1.9,2.9,0.652,3.9,0.9,0.6,2.2,14.2,16,16,88,229,0.384,0.43,30,46,0.652,63,35,227,16,0.455,20.3,12.3,24.8,-0.1,16,5,11,509,542,706,63,3,3,126,157,70,11.6,12.9,2.36
"171","John Wall","PG",26,"WAS",26,26,8.5,18.5,0.46,0.494,5.5,6.8,0.807,9.7,2.3,0.5,4.3,23.7,26,26,221,480,0.46,0.494,142,176,0.807,251,113,616,26,0.553,44.9,16.9,31.3,1.7,26,13,13,942,1525,1968,251,23,39,474,581,312,16.5,20.5,3.04
"172","Russell Westbrook","PG",28,"OKC",29,29,10.3,24.2,0.427,0.465,8.8,10.7,0.82,10.8,1.3,0.3,5.5,31.3,29,29,300,702,0.427,0.465,255,311,0.82,312,159,908,29,0.541,58.4,15.9,41.9,4.1,29,17,12,1018,1757,2220,312,33,35,579,715,381,17.8,21.7,2.38
"173","Hassan Whiteside","C",27,"MIA",30,30,7.7,13.8,0.554,0.554,2.9,5.3,0.544,0.6,0.8,2.4,2,18.2,30,30,230,415,0.554,0.554,87,160,0.544,19,59,547,30,0.563,3.4,10.8,23.7,0.3,30,10,20,1019,787,586,19,2,10,48,40,31,2.4,3.9,1.55
"174","Andrew Wiggins","SF",21,"MIN",28,28,7.8,17.8,0.441,0.479,4.9,6.5,0.762,2.4,0.7,0.4,2.5,21.9,28,28,219,497,0.441,0.479,138,181,0.762,66,69,614,28,0.532,11.1,10.7,27.4,-0.2,28,9,19,1032,737,1075,66,12,17,139,168,95,9,12.9,1.38
"175","Deron Williams","PG",32,"DAL",21,21,5,12.1,0.412,0.475,2.4,2.6,0.926,6.6,0.5,0.1,2.1,13.9,21,21,105,255,0.412,0.475,50,54,0.926,138,45,292,21,0.524,38.6,13.9,24,0.1,21,6,15,639,1350,1554,138,11,26,263,336,174,10.2,12.9,5.06
"176","Lou Williams","SG",30,"LAL",32,0,5.8,13.1,0.445,0.52,5.4,6.2,0.869,3.4,1.4,0.2,2.2,19.1,32,0,187,420,0.445,0.52,173,199,0.869,108,71,610,32,0.601,23,12.3,30.3,1,32,11,21,809,936,1306,108,7,24,174,244,139,11.5,14.9,1.96
"177","Nick Young","SG",31,"LAL",25,25,5.1,11,0.467,0.599,1.6,1.8,0.909,1.1,0.4,0.4,0.6,14.7,25,25,128,274,0.467,0.599,40,44,0.909,27,16,368,25,0.627,6.8,5.2,20.3,0.4,25,10,15,648,517,664,27,6,8,56,65,41,5.2,7.9,1.88
"178","Thaddeus Young","PF",28,"IND",31,31,5.1,9.5,0.536,0.592,0.6,1.2,0.514,1.5,1.2,0.5,1.6,11.9,31,31,158,295,0.536,0.592,19,37,0.514,46,49,368,31,0.591,7.5,13.6,16.5,0.7,31,15,16,964,1283,978,46,7,15,95,110,68,3.6,5.3,3.87
