Player,Tm,GP,W,L,Min,PassesMade,PassesReceived,Ast,FTAst,SecondaryAst,PotentialAst,AstPtsCreated,AstAdj,AstToPassRatio,AstToPassRatioAdj
Wayne Ellington,MIA,11,4,7,339,214,273,22,1,3,40,52,26,10.3,12.1
Juan Hernangomez,DEN,22,9,13,246,209,146,10,0,2,24,27,13,4.8,6.2
Shabazz Napier,POR,19,6,13,133,205,241,20,2,1,41,46,23,9.8,11.2
Darrun Hilliard,DET,19,10,9,226,204,254,17,4,3,40,44,24,8.3,11.8
Nicolas Brussino,DAL,22,5,17,150,202,177,18,3,2,35,43,23,8.9,11.4
Andrew Nicholson,WAS,20,11,9,187,196,159,6,1,4,10,15,11,3.1,5.6
JaVale McGee,GSW,26,22,4,216,195,169,8,0,3,15,18,11,4.1,5.6
Damjan Rudez,ORL,18,6,12,145,192,156,7,1,1,24,17,9,3.6,4.7
Anthony Morrow,OKC,23,13,10,390,190,253,14,2,2,26,34,18,7.4,9.5
Toney Douglas,MEM,6,5,1,107,184,195,16,2,6,33,37,24,8.7,13
Sasha Vujacic,NYK,18,9,9,125,180,179,14,1,3,26,35,18,7.8,10
Gary Harris,DEN,9,4,5,228,180,227,25,2,1,37,65,28,13.9,15.6
Chandler Parsons,MEM,7,5,2,141,177,187,7,0,5,23,18,12,4,6.8
Shabazz Muhammad,MIN,25,7,18,417,168,263,12,0,5,23,26,17,7.1,10.1
Taurean Prince,ATL,18,9,9,189,166,178,12,1,2,27,29,15,7.2,9
Mario Hezonja,ORL,19,6,13,186,166,196,10,1,5,24,22,16,6,9.6
Miles Plumlee,MIL,19,9,10,209,163,137,15,1,5,24,35,21,9.2,12.9
Kay Felder,CLE,12,8,4,110,159,199,21,4,1,29,60,26,13.2,16.4
Joe Young,IND,16,7,9,99,159,203,10,2,5,36,24,17,6.3,10.7
Jerryd Bayless,PHI,3,1,2,71,157,180,13,0,4,24,32,17,8.3,10.8
Ron Baker,NYK,10,3,7,95,151,168,9,2,5,19,24,16,6,10.6
Brandon Bass,LAC,15,11,4,142,148,137,8,2,2,16,22,12,5.4,8.1
Dirk Nowitzki,DAL,5,0,5,131,145,148,7,0,3,17,16,10,4.8,6.9
