Player,useless,Tm,tG,tGS,tFG,tFGA,tFG%,teFG%,tFT,tFTA,tFT%,tAST,tTOV,tPTS
Christian Wood,woodch01,CHO,1,0,0,1,.000,.000,0,0,,0,0,0
Metta World Peace,artesro01,LAL,12,1,5,21,.238,.286,4,6,.667,4,2,16
James Young,youngja01,BOS,11,0,6,14,.429,.500,0,0,,3,1,14
Joe Young,youngjo01,IND,16,0,19,51,.373,.402,8,11,.727,10,2,49
Nick Young,youngni01,LAL,25,25,128,274,.467,.599,40,44,.909,27,16,368
Thaddeus Young,youngth01,IND,31,31,158,295,.536,.592,19,37,.514,46,49,368
Cody Zeller,zelleco01,CHO,26,24,109,187,.583,.583,62,95,.653,32,29,280
Tyler Zeller,zellety01,BOS,24,5,44,96,.458,.458,13,22,.591,24,10,101
Stephen Zimmerman,zimmest01,ORL,5,0,2,7,.286,.286,0,1,.000,1,0,4
Paul Zipser,zipsepa01,CHI,8,0,1,13,.077,.077,1,2,.500,4,3,3
Ivica Zubac,zubaciv01,LAL,6,1,3,10,.300,.300,3,4,.750,0,2,9


