Player,usless,Tm,aG,aTS%,aAST%,aTOV%,aUSG%,aVORP
Montrezl Harrell,harremo01,HOU,21,.635,8.5,14.7,19.1,0.2
Devin Harris,harride01,DAL,13,.453,15.0,15.6,14.6,0.0
Gary Harris,harriga01,DEN,9,.604,17.8,9.5,19.4,0.2
Joe Harris,harrijo01,BRK,28,.584,8.2,12.9,16.8,0.0
Tobias Harris,harrito02,DET,31,.555,8.7,9.4,21.6,0.7
Aaron Harrison,harriaa01,CHO,4,.102,17.2,0.0,14.5,0.0
Andrew Harrison,harrian01,MEM,30,.432,20.8,16.9,16.3,0.0
Udonis Haslem,hasleud01,MIA,8,.307,3.3,0.0,10.6,-0.1
Spencer Hawes,hawessp01,CHO,22,.518,16.2,15.8,20.0,0.2
Gordon Hayward,haywago01,UTA,23,.574,19.3,10.4,28.8,1.2
Gerald Henderson,hendege02,PHI,27,.550,10.8,10.1,17.2,0.0
John Henson,hensojo01,MIL,25,.543,7.9,13.9,17.5,0.4
Juan Hernangomez,hernaju01,DEN,22,.575,5.7,9.3,12.9,0.1
Willy Hernangomez,hernawi01,NYK,24,.614,9.2,19.7,19.2,0.1
Mario Hezonja,hezonma01,ORL,19,.390,8.6,16.1,23.9,-0.4
Roy Hibbert,hibbero01,CHO,23,.559,6.4,12.5,15.9,0.1
Buddy Hield,hieldbu01,NOP,31,.482,10.3,9.5,22.1,-0.4
Nene Hilario,hilarne01,HOU,25,.597,7.1,17.6,19.0,0.1
George Hill,hillge01,UTA,11,.667,24.0,8.3,23.9,0.8
Jordan Hill,hilljo01,MIN,3,.773,0.0,34.0,16.1,0.0
Solomon Hill,hillso01,NOP,29,.518,9.5,15.0,10.3,0.3
Darrun Hilliard,hillida01,DET,19,.487,11.2,17.7,19.3,-0.1
Jrue Holiday,holidjr01,NOP,16,.509,35.7,14.3,24.9,0.3
Justin Holiday,holidju01,NYK,29,.532,8.6,10.3,15.8,0.2
Rondae Hollis-Jefferson,holliro01,BRK,25,.482,14.7,14.1,17.1,0.0
Richaun Holmes,holmeri01,PHI,21,.559,9.4,12.2,19.4,0.3
Rodney Hood,hoodro01,UTA,25,.537,12.0,7.6,24.5,0.4
Al Horford,horfoal01,BOS,19,.544,25.0,9.8,21.1,1.0
Danuel House,houseda01,WAS,1,,0.0,,0.0,0.0
